,precision,recall,f1-score,support
WALKING,0.8293515358361775,0.9798387096774194,0.8983364140480592,496.0
WALKING_UPSTAIRS,0.8881856540084389,0.8938428874734607,0.891005291005291,471.0
WALKING_DOWNSTAIRS,0.9696048632218845,0.7595238095238095,0.8518024032042724,420.0
SITTING,0.9009433962264151,0.7780040733197556,0.8349726775956284,491.0
STANDING,0.8161290322580645,0.9511278195488722,0.8784722222222222,532.0
LAYING,0.9941634241245136,0.9515828677839852,0.972407231208373,537.0
accuracy,0.8907363420427553,0.8907363420427553,0.8907363420427553,0.8907363420427553
macro avg,0.8997296509459157,0.8856533612212171,0.8878327065473077,2947.0
weighted avg,0.8983160701829773,0.8907363420427553,0.8898869538030866,2947.0
