,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,484,6,6,0,0,0
WALKING_UPSTAIRS,34,431,6,0,0,0
WALKING_DOWNSTAIRS,17,43,360,0,0,0
SITTING,0,0,0,434,57,0
STANDING,0,0,0,39,493,0
LAYING,0,0,0,0,0,537
