,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,486,3,7,0,0,0
WALKING_UPSTAIRS,47,421,3,0,0,0
WALKING_DOWNSTAIRS,53,48,319,0,0,0
SITTING,0,2,0,382,104,3
STANDING,0,0,0,26,506,0
LAYING,0,0,0,16,10,511
