,WALKING,WALKING_UPSTAIRS,WALKING_DOWNSTAIRS,SITTING,STANDING,LAYING
WALKING,486,6,4,0,0,0
WALKING_UPSTAIRS,15,454,2,0,0,0
WALKING_DOWNSTAIRS,6,25,389,0,0,0
SITTING,0,1,0,434,54,2
STANDING,0,0,0,17,515,0
LAYING,0,0,0,0,0,537
